Date,Price_X,Price_Y,Price_Z,Price_Equipo1,Price_Equipo2
2010-01-31,77.013,547.0,2234.325,451.81800000000004,945.1895000000001
2010-02-28,74.78999999999999,538.0,2048.575,444.1435,886.575
2010-03-31,79.93130434782609,606.6304347826087,2204.1304347826085,501.0052173913043,965.705652173913
2010-04-30,85.67454545454545,681.25,2313.7272727272725,560.5795454545455,1025.6931818181818
2010-05-31,76.99761904761905,679.6428571428571,2048.6666666666665,558.7833333333334,932.1733333333333
2010-06-30,75.65863636363636,614.2045454545455,1931.0227272727273,507.0404545454545,871.6804545454546
2010-07-31,75.35636363636364,606.1363636363636,1987.784090909091,498.3195454545455,884.8154545454545
2010-08-31,77.115,632.0454545454545,2116.0795454545455,520.4931818181818,941.94
2010-09-30,78.41727272727273,627.0454545454545,2161.443181818182,517.2609090909091,959.6136363636364
2010-10-31,83.53619047619047,594.6428571428571,2346.0714285714284,491.79333333333335,1007.9909523809524
2010-11-30,86.15954545454545,612.8409090909091,2332.556818181818,508.73227272727274,1008.2018181818181
2010-12-31,92.25478260869566,621.9565217391304,2358.728260869565,518.3586956521739,1025.5365217391304
2011-01-31,96.90714285714286,670.7142857142857,2439.3333333333335,560.6414285714285,1066.7980952380954
2011-02-28,104.032,742.25,2507.75,610.5065,1116.15
2011-03-31,114.67173913043477,719.8913043478261,2552.1847826086955,598.611304347826,1129.133043478261
2011-04-30,123.13333333333334,715.2380952380952,2670.9523809523807,594.4885714285714,1166.759523809524
2011-05-31,114.52181818181818,699.7727272727273,2601.0454545454545,582.9695454545455,1144.6913636363636
2011-06-30,113.90181818181819,694.3181818181819,2555.9886363636365,576.4959090909091,1123.324090909091
2011-07-31,116.7547619047619,687.2619047619048,2511.595238095238,576.1014285714285,1105.7833333333333
2011-08-31,109.92608695652174,702.7173913043479,2390.7934782608695,584.3495652173914,1062.4421739130435
2011-09-30,109.90499999999999,706.1363636363636,2296.306818181818,587.6886363636363,1034.7627272727273
2011-10-31,108.78666666666666,664.2857142857143,2171.845238095238,552.0352380952381,978.7314285714286
2011-11-30,110.49136363636363,606.8181818181819,2076.1704545454545,509.01772727272726,928.7672727272728
2011-12-31,107.73363636363636,609.8863636363636,2016.8181818181818,512.8531818181818,913.4318181818181
2012-01-31,111.26727272727273,615.4545454545455,2137.5454545454545,519.1386363636364,957.0227272727273
2012-02-29,119.06000000000002,634.8809523809524,2203.5476190476193,532.14,986.8019047619048
2012-03-31,124.54454545454546,647.2727272727273,2183.431818181818,542.9186363636364,980.9831818181818
2012-04-30,120.62666666666667,646.6666666666666,2047.6666666666667,537.1547619047619,938.2090476190476
2012-05-31,110.28869565217391,629.7826086956521,2001.2717391304348,522.9360869565218,911.5813043478261
2012-06-30,95.92714285714285,605.7142857142857,1890.2380952380952,500.33809523809526,861.4233333333333
2012-07-31,102.72363636363637,578.2954545454545,1873.8181818181818,482.60499999999996,853.1418181818182
2012-08-31,112.67826086956521,539.0217391304348,1839.6630434782608,453.4082608695652,826.6773913043478
2012-09-30,113.03399999999999,510.125,2053.4875,428.02,892.9815000000001
2012-10-31,111.52,526.6304347826087,1976.3695652173913,444.6986956521739,871.0439130434781
2012-11-30,109.52727272727272,539.2045454545455,1942.6931818181818,453.94500000000005,862.1822727272728
2012-12-31,109.17761904761905,544.8809523809524,2082.2023809523807,458.2338095238095,912.2890476190476
2013-01-31,112.27043478260869,582.7173913043479,2041.6847826086957,489.60434782608695,915.2717391304348
2013-02-28,116.07249999999999,610.625,2055.4875,515.8005,926.7760000000001
2013-03-31,109.56476190476191,597.9761904761905,1910.3333333333333,499.3838095238095,873.3104761904763
2013-04-30,103.425,556.4772727272727,1856.4772727272727,464.00272727272727,833.0922727272726
2013-05-31,103.27652173913044,525.6521739130435,1829.75,439.20695652173913,814.1573913043478
