fecha,equipo,tipo,valor,p05,p95
2020-08-31,Price_Equipo1,historico,414.45,,
2020-09-30,Price_Equipo1,historico,418.7,,
2020-10-31,Price_Equipo1,historico,417.55,,
2020-11-30,Price_Equipo1,historico,451.23,,
2020-12-31,Price_Equipo1,historico,526.33,,
2021-01-31,Price_Equipo1,historico,530.16,,
2021-02-28,Price_Equipo1,historico,542.37,,
2021-03-31,Price_Equipo1,historico,591.84,,
2021-04-30,Price_Equipo1,historico,699.8,,
2021-05-31,Price_Equipo1,historico,781.56,,
2021-06-30,Price_Equipo1,historico,737.14,,
2021-07-31,Price_Equipo1,historico,737.4,,
2021-08-31,Price_Equipo1,historico,747.45,,
2021-09-30,Price_Equipo1,historico,751.22,,
2021-10-31,Price_Equipo1,historico,739.71,,
2021-11-30,Price_Equipo1,historico,650.11,,
2021-12-31,Price_Equipo1,historico,632.95,,
2022-01-31,Price_Equipo1,historico,623.59,,
2022-02-28,Price_Equipo1,historico,664.49,,
2022-03-31,Price_Equipo1,historico,710.52,,
2022-04-30,Price_Equipo1,historico,699.8,,
2022-05-31,Price_Equipo1,historico,640.48,,
2022-06-30,Price_Equipo1,historico,591.91,,
2022-07-31,Price_Equipo1,historico,508.26,,
2022-08-31,Price_Equipo1,historico,493.74,,
2022-09-30,Price_Equipo1,historico,470.91,,
2022-10-31,Price_Equipo1,historico,458.02,,
2022-11-30,Price_Equipo1,historico,447.82,,
2022-12-31,Price_Equipo1,historico,483.33,,
2023-01-31,Price_Equipo1,historico,521.96,,
2023-02-28,Price_Equipo1,historico,521.15,,
2023-03-31,Price_Equipo1,historico,527.79,,
2023-04-30,Price_Equipo1,historico,503.73,,
2023-05-31,Price_Equipo1,historico,457.47,,
2023-06-30,Price_Equipo1,historico,449.98,,
2023-07-31,Price_Equipo1,historico,460.87,,
2023-08-31,Price_Equipo1,historico,461.04,,
2010-01-31,Price_Equipo2,historico,945.19,,
2010-02-28,Price_Equipo2,historico,886.58,,
2010-03-31,Price_Equipo2,historico,965.71,,
2010-04-30,Price_Equipo2,historico,1025.69,,
2010-05-31,Price_Equipo2,historico,932.17,,
2010-06-30,Price_Equipo2,historico,871.68,,
