fecha,equipo,p05,p25,mediana,p75,p95,amplitud
2023-09-30,Price_Equipo1,420.72363614333204,450.1475149053144,462.0809301653786,477.0549177856358,504.99705991014883,18.23780603468214
2023-10-31,Price_Equipo1,397.6709174734561,437.8595824845894,462.4221739194406,489.4046983671881,548.278240292644,32.56922598297059
2023-11-30,Price_Equipo1,379.10585180819896,427.4389105978552,463.2065804385122,501.1400825914285,578.379751284884,43.02052429566843
2023-12-31,Price_Equipo1,360.2155948485968,419.3160959018621,462.83608464658835,512.0747566201213,602.1032255385062,52.262051018474395
2024-01-31,Price_Equipo1,346.21252190294615,412.65857861798224,463.6607826074132,523.815245254131,625.576301162008,60.25175941947247
2024-02-29,Price_Equipo1,332.8787162615309,406.5445648173668,464.9130583465495,533.7334316105168,646.562493709154,67.47149210289571
2023-09-30,Price_Equipo2,864.4885399358271,901.7724478341711,925.7419199130004,954.4204418857827,983.0146903257024,12.8033686106614
2023-10-31,Price_Equipo2,826.5815042714981,888.9200705033203,928.6986701685653,968.2665482493462,1026.9050727885585,21.570351606156628
2023-11-30,Price_Equipo2,803.8696372010626,875.700383673257,929.6468649878909,981.7680701017202,1059.1021786197628,27.45478428758265
2023-12-31,Price_Equipo2,786.122573300805,867.7076559005801,930.7607415591197,993.5933719114445,1087.7070860121682,32.401937387924015
2024-01-31,Price_Equipo2,766.1081814555511,859.3736817779884,931.1206289873719,1004.3341412373236,1115.1688828936421,37.48823627908529
2024-02-29,Price_Equipo2,750.0446001009301,852.5260850486065,931.8106379184584,1014.6916251826385,1138.4387749761013,41.68166353442716
