fecha,real,prediccion,naive,error_modelo,error_naive
2015-01-31,359.02590909090895,357.0516184006994,377.2895652173913,0.549902009915848,5.087002264746809
2015-02-28,316.2295,316.3986285992568,359.02590909090895,0.0534828658480091,13.53333863251498
2015-03-31,310.3509090909091,309.45029418644816,316.2295,0.290192449282356,1.8941755080758904
2015-04-30,307.8331818181817,306.4149446663986,310.3509090909091,0.4607161396333104,0.8178869015538659
2015-05-31,301.20666666666665,302.36217118279677,307.8331818181817,0.3836251464542917,2.199989537033842
2015-06-30,290.5954545454547,291.88497530329875,301.20666666666665,0.4437511797495519,3.6515409842903024
2015-07-31,266.84739130434775,266.7895941613749,290.5954545454547,0.021659249764571786,8.899492374659012
2015-08-31,256.15857142857146,254.8627228962072,266.84739130434775,0.5058774825052459,4.172735589586463
2015-09-30,240.74272727272725,239.67581732100092,256.15857142857146,0.4431743229849183,6.403451655833514
2015-10-31,225.40318181818176,226.71134614335637,240.74272727272725,0.5803663970590289,6.805381064637728
2015-11-30,219.3319047619047,219.77633110284714,225.40318181818176,0.2026273110721899,2.7680774773135353
2015-12-31,214.86608695652166,215.3900705280651,219.3319047619047,0.24386518085075526,2.078419106821028
2016-01-31,224.3180952380952,222.96338357532824,214.86608695652166,0.6039243786057691,4.213662866359935
2016-02-29,227.05047619047622,226.94665685269214,224.3180952380952,0.04572522353882835,1.2034244535513716
2016-03-31,266.34956521739133,267.77850617023955,227.05047619047622,0.5364908148740355,14.754703652262268
2016-04-30,339.13809523809533,337.4227922504461,266.34956521739133,0.5057830458253254,21.46279968034911
2016-05-31,323.79409090909104,322.9397215877551,339.13809523809533,0.26386192500832406,4.738815426163012
2016-06-30,278.79000000000013,277.6890039556018,323.79409090909104,0.394919489364165,16.14264891462782
2016-07-31,295.3966666666667,295.62557489359324,278.79000000000013,0.07749181109915071,5.621819248693816
2016-08-31,313.1226086956521,313.97423321294076,295.3966666666667,0.2719779708134862,5.661022722959808
2016-09-30,319.1486363636364,319.0154089934429,313.1226086956521,0.04174461520859429,1.888157109691757
2016-10-31,318.9014285714286,320.20022997463127,319.1486363636364,0.40727362339543216,0.07751855904667426
2016-11-30,377.6363636363635,374.24966926027565,318.9014285714286,0.8968136287184958,15.553304904051135
2016-12-31,411.4309090909092,412.91019181762624,377.6363636363635,0.35954584209183515,8.21390535028531
2017-01-31,404.12909090909073,404.319009369531,411.4309090909092,0.04699450366540958,1.806803406652313
2017-02-28,414.1084999999999,412.129969509437,404.12909090909073,0.47778070012155505,2.40985371971576
2017-03-31,410.7908695652174,407.62632402354404,414.1084999999999,0.7703544007739871,0.807620295527478
2017-04-30,365.5685000000001,364.2035430636866,410.7908695652174,0.3733792534951652,12.3704229344753
2017-05-31,354.9060869565216,354.8551569188724,365.5685000000001,0.014350285757547265,3.0042913985819153
2017-06-30,364.2036363636364,363.1550649707889,354.9060869565216,0.28790799655843413,2.552843650861225
2017-07-31,397.0966666666666,396.04139159508213,364.2036363636364,0.2657476529437264,8.283381117032008
2017-08-31,440.0647826086958,439.6712705732691,397.0966666666666,0.08942138770886565,9.764043304559621
2017-09-30,470.45904761904745,470.6625322283077,440.0647826086958,0.04325235326860799,6.4605548908399975
2017-10-31,460.261818181818,459.9109932121886,470.45904761904745,0.07622291395259495,2.215527996111377
2017-11-30,451.61045454545473,451.44640346845944,460.261818181818,0.03632579258165958,1.9156694778181826
2017-12-31,471.83047619047636,471.5391910050798,451.61045454545473,0.06173513583700441,4.285442052890809
2018-01-31,472.35434782608684,472.13850597172063,471.83047619047636,0.04569490158385925,0.11090649170935052
2018-02-28,489.2705,485.3359295590049,472.35434782608684,0.8041707891636829,3.457423280968952
2018-03-31,490.29045454545457,488.1935187109225,489.2705,0.4276925677609067,0.20803067569409306
2018-04-30,480.83095238095234,480.27344666340986,490.29045454545457,0.11594630395190819,1.967323883302674
2018-05-31,484.87130434782614,486.1918441195833,480.83095238095234,0.27234850978310465,0.8332833745045565
2018-06-30,492.41857142857157,490.5358404368832,484.87130434782614,0.38234362002763644,1.5326934276361226
2018-07-31,480.4690909090909,479.52820279087314,492.41857142857157,0.19582698159364975,2.487044587378384
2018-08-31,472.1639130434781,473.497082705409,480.4690909090909,0.28235314582547577,1.7589607414254083
2018-09-30,472.6354999999999,471.8399299404528,472.1639130434781,0.1683263444127947,0.09977814965693721
2018-10-31,456.87043478260864,456.49346640247717,472.6354999999999,0.08251100343379392,3.450664349706223
2018-11-30,414.8636363636364,419.1946906917912,456.87043478260864,1.0439705841942093,10.125447192038894
2018-12-31,395.0457142857142,394.9372275807426,414.8636363636364,0.027461810380036145,5.016614878041437
2019-01-31,398.33521739130424,400.0214890976015,395.0457142857142,0.42332980682466825,0.8258127732548859
2019-02-28,420.96749999999986,422.3453854546746,398.33521739130424,0.32731397427943065,5.376254130947311
2019-03-31,441.7933333333332,440.0138973740044,420.96749999999986,0.40277564758683937,4.713931099005563
2019-04-30,436.0827272727272,438.585298125823,441.7933333333332,0.573875252695033,1.309523561348147
2019-05-31,426.3239130434782,427.6395847225734,436.0827272727272,0.3086084638562081,2.2890609535791473
2019-06-30,405.8930000000001,406.68911203868623,426.3239130434782,0.19613840068346544,5.03357117355514
2019-07-31,419.9904347826086,418.7104476588238,405.8930000000001,0.3047657798319503,3.3566085355980713
2019-08-31,398.1254545454546,397.1387684404035,419.9904347826086,0.24783296164210267,5.491982486303848
2019-09-30,382.36,380.0926489555043,398.1254545454546,0.5929885564640025,4.123196606720003
2019-10-31,365.5186956521738,364.89290331197304,382.36,0.1712066571818438,4.6075083294377706
2019-11-30,367.9180952380952,368.89548878601516,365.5186956521738,0.2656551989614675,0.6521559056149817
2019-12-31,390.53772727272747,390.7634763506606,367.9180952380952,0.05780467856706384,5.791919821061519
2020-01-31,406.0617391304348,406.42471592116425,390.53772727272747,0.08938955723993836,3.8230668791773836
2020-02-29,382.7435000000001,384.20488994320215,406.0617391304348,0.38181966335211204,6.092393242585348
2020-03-31,363.9477272727273,361.0153410604982,382.7435000000001,0.8057163137693446,5.1644154692544575
2020-04-30,330.0950000000001,327.6859915228,363.9477272727273,0.7297924770748088,10.255449877376876
2020-05-31,338.37523809523793,338.90225109977274,330.0950000000001,0.15574810009781892,2.4470579294893047
2020-06-30,360.7872727272726,360.46769615606456,338.37523809523793,0.08857756228268787,6.211980390166483
2020-07-31,380.4769565217392,380.3837478107308,360.7872727272726,0.024497859702332647,5.175000340222091
2020-08-31,414.45238095238113,412.1851555934138,380.4769565217392,0.5470412194900187,8.197666605888198
2020-09-30,418.7045454545455,417.90965634174023,414.45238095238113,0.1898448730577651,1.01555250553782
2020-10-31,417.54500000000013,414.76610302448114,418.7045454545455,0.6655323319687656,0.2777055058844846
2020-11-30,451.22857142857157,447.7336954501463,417.54500000000013,0.774524531405596,7.464857848413853
2020-12-31,526.3317391304346,524.3095065871083,451.22857142857157,0.3842125399215357,14.269169445479912
2021-01-31,530.1599999999999,529.6947786930095,526.3317391304346,0.0877511141901155,0.7220953805578079
2021-02-28,542.3720000000001,540.2598825973688,530.1599999999999,0.3894222789213475,2.251591158835675
2021-03-31,591.8439130434781,592.1368192675508,542.3720000000001,0.049490451387157464,8.358945991194766
2021-04-30,699.7995454545455,699.1619154450418,591.8439130434781,0.09111609369359952,15.426650833410626
2021-05-31,781.5571428571432,775.3852219701889,699.7995454545455,0.7896954104202214,10.460859855200844
2021-06-30,737.1372727272727,729.682182794686,781.5571428571432,1.0113570712554254,6.0259970256998585
2021-07-31,737.4018181818179,733.8738188348531,737.1372727272727,0.4784364860482282,0.03587534611692034
2021-08-31,747.4540909090907,746.5190624819445,737.4018181818179,0.12509509794895735,1.3448682466968287
2021-09-30,751.2213636363638,752.2190494099933,747.4540909090907,0.1328084931983442,0.5014863673521219
2021-10-31,739.7109523809522,743.1540873053742,751.2213636363638,0.4654703182830122,1.5560687885399327
2021-11-30,650.112272727273,649.9309053752144,739.7109523809522,0.027897850827784954,13.78203172166026
2021-12-31,632.9491304347827,633.5170679319621,650.112272727273,0.08972877437865012,2.7116147992336526
2022-01-31,623.5885714285715,627.068252039293,632.9491304347827,0.5580090415624461,1.5010793069486716
2022-02-28,664.4885,663.4341958981214,623.5885714285715,0.1586640102693493,6.155099534668929
2022-03-31,710.524347826087,711.1855731796758,664.4885,0.09306160381581385,6.47913726910806
2022-04-30,699.800476190476,705.3538806947607,710.524347826087,0.7935696949673332,1.532418453612494
2022-05-31,640.4827272727273,638.6561089574151,699.800476190476,0.28519400095147196,9.261412742593823
2022-06-30,591.9140909090911,596.1243810187533,640.4827272727273,0.7113008753003136,8.205352281619449
2022-07-31,508.26333333333326,510.2197575030026,591.9140909090911,0.3849233342957392,16.458153104838935
2022-08-31,493.73913043478245,496.97045272566635,508.26333333333326,0.654459428410803,2.9416754725842598
2022-09-30,470.9118181818181,469.42338155731795,493.73913043478245,0.31607544492022743,4.84747066682254
2022-10-31,458.0190476190476,459.61003894771704,470.9118181818181,0.3473635729649205,2.8148983387900284
2022-11-30,447.81590909090926,445.93579943525503,458.0190476190476,0.41983985327161966,2.278422521623069
2022-12-31,483.3336363636366,484.8500790621251,447.81590909090926,0.3137465684982077,7.34849069060145
2023-01-31,521.9618181818183,522.2766737624884,483.3336363636366,0.06032157328419441,7.400576148028925
2023-02-28,521.1534999999999,521.0902132380215,521.9618181818183,0.012143593390112617,0.1551017467633642
2023-03-31,527.7878260869566,529.6524973825512,521.1534999999999,0.3532994137851686,1.2570062739309162
2023-04-30,503.73150000000027,500.9972367467628,527.7878260869566,0.5428017214006875,4.775624730031036
2023-05-31,457.46869565217395,456.1813498056544,503.73150000000027,0.281406325450162,10.112780347051586
2023-06-30,449.97590909090894,448.97438912161675,457.46869565217395,0.2225719086418554,1.6651528248262881
2023-07-31,460.8723809523808,460.0804896900865,449.97590909090894,0.1718244127925206,2.364314355083419
2023-08-31,461.0352173913043,462.55894393242795,460.8723809523808,0.33050111654060466,0.035319739746753065
