equipo,variables,r2,suma_elasticidades,error_modelo,error_naive
Price_Equipo1,"Price_X, Price_Y",0.9998,1.001,0.3311,4.9952
Price_Equipo2,"Price_X, Price_Y, Price_Z",0.9995,0.993,0.3554,3.5535
