equipo,r2_diferencias,r2_niveles,durbin_niveles,durbin_diferencias,autocorr_diferencias,ljungbox_diferencias,autocorr_niveles,ljungbox_niveles,adf_residuos,cointegrado
Price_Equipo1,0.993,1.0,1.597,2.863,-0.435,0.0005,0.198,0.4235,2.1516561541002548e-18,True
Price_Equipo2,0.989,0.999,1.174,2.984,-0.502,0.0,0.405,0.0,9.183574298332495e-06,True
